start_datetime,end_datetime,cme_datetime,start_frequency,end_frequency,flare_location,flare_region,flare_classification,cme_angle,cme_width,cme_speed,is_halo,is_lower_bound
1997-04-01 14:00:00,1997-04-01 14:15:00,1997-04-01 15:18:00,8000,4000,S25E16,8026,M1.3,74,79,312,False,False
1997-04-07 14:30:00,1997-04-07 17:30:00,1997-04-07 14:27:00,11000,1000,S28E19,8027,C6.8,NA,360,878,True,False
1997-05-12 05:15:00,1997-05-14 16:00:00,1997-05-12 05:30:00,12000,80,N21W08,8038,C1.3,NA,360,464,True,False
1997-05-21 20:20:00,1997-05-21 22:00:00,1997-05-21 21:00:00,5000,500,N05W12,8040,M1.3,263,165,296,False,False
1997-09-23 21:53:00,1997-09-23 22:16:00,1997-09-23 22:02:00,6000,2000,S29E25,8088,C1.4,133,155,712,False,False
1997-11-03 05:15:00,1997-11-03 12:00:00,1997-11-03 05:28:00,14000,250,S20W13,8100,C8.6,240,109,227,False,False
1997-11-03 10:30:00,1997-11-03 11:30:00,1997-11-03 11:11:00,14000,5000,S16W21,8100,M4.2,233,122,352,False,False
1997-11-04 06:00:00,1997-11-05 04:30:00,1997-11-04 06:10:00,14000,100,S14W33,8100,X2.1,NA,360,785,True,False
1997-11-06 12:20:00,1997-11-07 08:30:00,1997-11-06 12:10:00,14000,100,S18W63,8100,X9.4,NA,360,1556,True,False
1997-11-27 13:30:00,1997-11-27 14:00:00,1997-11-27 13:56:00,14000,7000,N17E63,8113,X2.6,98,91,441,False,False
1997-12-12 22:45:00,1997-12-12 23:20:00,1997-12-13 00:26:00,14000,8000,N25W52,8116,B9.4,278,73,191,False,False
1998-01-25 15:03:00,1998-01-25 15:18:00,1998-01-25 15:26:00,14000,10000,N21E25,8141,C1.1,NA,360,693,True,False
1998-03-29 03:40:00,1998-03-29 03:52:00,1998-03-29 03:48:00,14000,7000,SW90,NA,NA,NA,360,1397,True,False
1998-04-20 10:25:00,1998-04-22 06:00:00,1998-04-20 10:07:00,10000,35,S22W90,8194,M1.4,284,165,1863,False,False
1998-04-23 06:00:00,1998-04-23 15:30:00,1998-04-23 05:55:00,14000,200,S17E90,8210,X1.2,NA,360,1691,True,False
1998-04-24 09:17:00,1998-04-24 09:25:00,1998-04-24 08:55:00,4700,2600,S20E90,8210,C8.9,100,84,1184,False,False
1998-04-27 09:20:00,1998-04-27 10:00:00,1998-04-27 08:56:00,10000,1000,S16E50,8210,X1.0,NA,360,1385,True,False
1998-04-29 16:30:00,1998-04-29 17:00:00,1998-04-29 16:58:00,10000,2000,S18E20,8210,M6.8,NA,360,1374,True,False
1998-05-02 14:25:00,1998-05-02 14:50:00,1998-05-02 14:06:00,5000,3000,S15W15,8210,X1.1,NA,360,938,True,False
